,,,,
1,HW2349EC,,,Keenovo 280x280mm 220V 600W Silicone Heater Bed Pad w/ NTC 100K Thermistor and Thermal Fuse
1,HW1733EC,,,C-Lin SSR 40A480VAC Solid State Relay Input 3V~32VDC 40DA
1,HW1895GC,,,FlexPlate Set - Powder coated PEI 310 x 310 mm
1,HW2860GK,,,Power Suppy - Meanwell LRS 200W 24V
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW3007EC,,,Fan - 4028 Axial - Protechnic MGT4012WB-W28-C (1.2A / 12V / 23000RPM)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,HW3024MK,,,Rat Rig V-Core 3.1 - Printed Parts Bundle (PETG)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3018MK,,,Rat Rig V-Core 3.1 - 400mm Standard Kit v1.3 (Europe)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3016MK,,,Rat Rig V-Core 3.1 - 400mm Mechanical Kit
1,HW2832EC,,,BigTreeTech Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
3,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
3,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
1,HW2350EC,,,Keenovo 380x380mm 220V 1000W Silicone Heater Bed Pad w/ NTC 100K Thermistor and Thermal Fuse
1,HW1733EC,,,C-Lin SSR 40A480VAC Solid State Relay Input 3V~32VDC 40DA
1,HW1896GC,,,FlexPlate Set - Powder coated PEI 410 x 410 mm
1,HW2860GK,,,Power Suppy - Meanwell LRS 200W 24V
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW3007EC,,,Fan - 4028 Axial - Protechnic MGT4012WB-W28-C (1.2A / 12V / 23000RPM)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,HW3024MK,,,Rat Rig V-Core 3.1 - Printed Parts Bundle (PETG)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3022MK,,,Rat Rig V-Core 3.1 - 500mm Standard Kit v1.3 (Europe)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3020MK,,,Rat Rig V-Core 3.1 - 500mm Mechanical Kit
1,HW2832EC,,,BigTreeTech Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
3,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
3,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
1,HW2351EC,,,Keenovo 480x480mm 220V 1500W Silicone Heater Bed Pad w/ NTC 100K Thermistor and Thermal Fuse
1,HW1733EC,,,C-Lin SSR 40A480VAC Solid State Relay Input 3V~32VDC 40DA
1,HW1897GC,,,FlexPlate Set - Powder coated PEI 510 x 510 mm
1,HW2860GK,,,Power Suppy - Meanwell LRS 200W 24V
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW3007EC,,,Fan - 4028 Axial - Protechnic MGT4012WB-W28-C (1.2A / 12V / 23000RPM)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,HW3024MK,,,Rat Rig V-Core 3.1 - Printed Parts Bundle (PETG)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3006MK,,,Rat Rig V-Core 3.1 - EVA 3.0 Hardware Pack
,,,,20/06/2022
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
8,HW2348SC,,,Cap Head Screw M3 (Single) (Length: 6mm)
24,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
2,HW1505SC,,,Cap Head Screw M3 (Single) (Length: 10mm)
6,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
4,HW1504SC,,,Cap Head Screw M3 (Single) (Length: 20mm)
1,HW1290SC,,,Cap Head Screw M3 (Single) (Length: 25mm)
9,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
2,HW2138SC,,,Cap Head Screw M5 (Single) (Length: 40mm)
43,HW1508NC,,,Hex Nut - M3
2,HW1251NC,,,Hex Locking Nut - M3
2,HW1039NC,,,Hex Locking Nut - M5
1,HW2907GC,72,,PTFE Tube Generic - OD 4mm ID 2mm - 1000mm
